player_id,player,pos,team,pick,tier,college,comp_n,comp_median,comp_p75,comp_p90,useful_rate,bust_rate,opening_pct,median_games,p_rec,p_rec_yds,p_rec_tds,p_rush_yds,p_rush_tds,p_pass_yds,p_pass_tds,p_ints,proj,upside
00-0041565,Drew Allar,QB,PIT,76,Round 3,Penn St.,24,15.7,71.8,136.3,4,54,48.3,3.0,0.0,0.0,0.0,8.4,0.0,370.0,0.0,0.7,14.2,82.8
00-0041081,Max Bredeson,TE,MIN,159,Rd 4-5,Michigan,66,16.9,40.4,70.9,3,70,6.4,8.0,7.5,82.9,0.2,0.0,0.0,0.0,0.0,0.0,13.2,32.5
00-0041077,Justin Joly,TE,DEN,152,Rd 4-5,North Carolina St.,66,16.9,40.4,70.9,3,70,0.0,8.0,7.0,77.4,0.2,0.0,0.0,0.0,0.0,0.0,12.4,30.3
00-0041397,Kaden Wetjen,WR,PIT,121,Rd 4-5,Iowa,105,11.1,31.2,94.4,3,72,45.9,8.0,9.1,69.8,0.0,0.0,0.0,0.0,0.0,0.0,11.5,35.3
00-0041561,Carson Beck,QB,ARI,65,Round 3,Miami (FL),24,15.7,71.8,136.3,4,54,21.4,3.0,0.0,0.0,0.0,6.7,0.0,298.0,0.0,0.6,11.4,66.7
00-0041067,Bryce Lance,WR,NO,136,Rd 4-5,North Dakota St.,105,11.1,31.2,94.4,3,72,30.5,8.0,8.0,61.9,0.0,0.0,0.0,0.0,0.0,0.0,10.2,31.3
00-0040876,Elijah Sarratt,WR,BAL,115,Rd 4-5,Indiana,105,11.1,31.2,94.4,3,72,22.3,8.0,7.5,57.6,0.0,0.0,0.0,0.0,0.0,0.0,9.5,29.2
00-0041070,Reggie Virgil,WR,ARI,143,Rd 4-5,Texas Tech,105,11.1,31.2,94.4,3,72,20.7,8.0,7.4,56.8,0.0,0.0,0.0,0.0,0.0,0.0,9.4,28.8
00-0041443,Skyler Bell,WR,BUF,125,Rd 4-5,Connecticut,105,11.1,31.2,94.4,3,72,20.4,8.0,7.4,56.7,0.0,0.0,0.0,0.0,0.0,0.0,9.4,28.7
00-0041446,Kendrick Law,WR,DET,168,Rd 4-5,Kentucky,105,11.1,31.2,94.4,3,72,9.0,8.0,6.6,50.8,0.0,0.0,0.0,0.0,0.0,0.0,8.4,25.7
00-0041069,Colbie Young,WR,CIN,140,Rd 4-5,Georgia,105,11.1,31.2,94.4,3,72,6.8,8.0,6.5,49.7,0.0,0.0,0.0,0.0,0.0,0.0,8.2,25.2
00-0041096,Kaytron Allen,RB,WAS,187,Rd 6-7,Penn St.,103,3.6,25.7,66.5,5,77,32.2,4.0,0.6,2.5,0.0,10.2,0.0,0.0,0.0,0.0,1.6,26.1
00-0041129,Jam Miller,RB,NE,245,Rd 6-7,Alabama,103,3.6,25.7,66.5,5,77,9.7,4.0,0.5,2.1,0.0,8.3,0.0,0.0,0.0,0.0,1.3,21.3
00-0041104,Demond Claiborne,RB,MIN,198,Rd 6-7,Wake Forest,103,3.6,25.7,66.5,5,77,14.4,4.0,0.5,2.2,0.0,8.7,0.0,0.0,0.0,0.0,1.3,22.3
00-0041125,Seth McGowan,RB,IND,237,Rd 6-7,Kentucky,103,3.6,25.7,66.5,5,77,5.9,4.0,0.5,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.2,20.5
00-0041529,Kevin Coleman Jr.,WR,MIA,177,Rd 6-7,Missouri,141,1.6,14.8,34.4,1,87,73.5,3.0,0.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,18.5
00-0041132,Deion Burks,WR,IND,254,Rd 6-7,Oklahoma,141,1.6,14.8,34.4,1,87,40.7,3.0,0.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,16.1
00-0040890,Cyrus Allen,WR,KC,176,Rd 6-7,Cincinnati,141,1.6,14.8,34.4,1,87,38.1,3.0,0.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.8
00-0040894,Malik Benson,WR,LV,195,Rd 6-7,Oregon,141,1.6,14.8,34.4,1,87,35.5,3.0,0.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,15.5
00-0041099,Barion Brown,WR,NO,190,Rd 6-7,LSU,141,1.6,14.8,34.4,1,87,30.5,3.0,0.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,14.9
00-0040900,Anthony Smith,WR,DAL,218,Rd 6-7,East Carolina,141,1.6,14.8,34.4,1,87,8.8,3.0,0.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.6,12.2
00-0041100,Josh Cameron,WR,JAX,191,Rd 6-7,Baylor,141,1.6,14.8,34.4,1,87,19.1,3.0,0.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.5
00-0041106,CJ Williams,WR,JAX,203,Rd 6-7,Stanford,141,1.6,14.8,34.4,1,87,19.1,3.0,0.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.5
00-0040895,Emmanuel Henderson Jr.,WR,SEA,199,Rd 6-7,Kansas,141,1.6,14.8,34.4,1,87,2.4,3.0,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,11.4
00-0041467,Lewis Bond,WR,HOU,204,Rd 6-7,Boston Col.,141,1.6,14.8,34.4,1,87,17.3,3.0,0.7,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.2
00-0041399,CJ Daniels,WR,LA,197,Rd 6-7,Miami (FL),141,1.6,14.8,34.4,1,87,0.0,3.0,0.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,11.1
00-0041056,Cade Klubnik,QB,NYJ,110,Rd 4-5,Clemson,34,0.0,9.0,64.8,3,85,24.6,1.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.1,8.6
00-0041579,Seydou Traore,TE,MIA,180,Rd 6-7,Mississippi St.,56,0.0,6.0,24.5,0,93,67.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
00-0041092,Taylen Green,QB,CLE,182,Rd 6-7,Arkansas,47,0.0,0.5,30.0,2,89,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
00-0041094,Bauer Sharp,TE,TB,185,Rd 6-7,LSU,56,0.0,6.0,24.5,0,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
00-0040891,Cole Payton,QB,PHI,178,Rd 6-7,North Dakota St.,47,0.0,0.5,30.0,2,89,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
00-0041116,Jack Endries,TE,CIN,221,Rd 6-7,Texas,56,0.0,6.0,24.5,0,93,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
00-0041117,Athan Kaliakmanis,QB,WAS,223,Rd 6-7,Rutgers,47,0.0,0.5,30.0,2,89,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
00-0041123,Behren Morton,QB,NE,234,Rd 6-7,Texas Tech,47,0.0,0.5,30.0,2,89,37.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
00-0040901,Jaren Kanak,TE,TEN,225,Rd 6-7,Oklahoma,56,0.0,6.0,24.5,0,93,56.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3
00-0041131,Carsen Ryan,TE,CLE,248,Rd 6-7,BYU,56,0.0,6.0,24.5,0,93,31.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
00-0040906,Garrett Nussmeier,QB,KC,249,Rd 6-7,LSU,47,0.0,0.5,30.0,2,89,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
00-0041133,Dallen Bentley,TE,DEN,256,Rd 6-7,Utah,56,0.0,6.0,24.5,0,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5
